Entity,Code,Day,share_doses_used
Alaska,,2021-01-12,25.3
Alaska,,2021-01-13,25.900000000000002
Alaska,,2021-01-14,28.299999999999997
Alaska,,2021-01-15,32.6
Alaska,,2021-01-19,44.1
Alaska,,2021-01-20,45.4
Alaska,,2021-01-21,46.6
Alaska,,2021-01-22,52.2
Alaska,,2021-01-23,56.699999999999996
Alaska,,2021-01-24,60.5
Alaska,,2021-01-25,62.3
Alaska,,2021-01-26,60.199999999999996
Alaska,,2021-01-27,59.599999999999994
Alaska,,2021-01-28,59.4
Alaska,,2021-01-29,57.4
Alaska,,2021-01-30,59.699999999999996
Alaska,,2021-01-31,61.9
Alaska,,2021-02-01,63.2
Alaska,,2021-02-02,62.7
Alaska,,2021-02-03,54.7
Alaska,,2021-02-04,54.1
Alaska,,2021-02-05,54.50000000000001
Alaska,,2021-02-06,56.00000000000001
Alaska,,2021-02-07,58.8
Alaska,,2021-02-08,60.699999999999996
Alaska,,2021-02-09,59.5
Alaska,,2021-02-10,60
Alaska,,2021-02-11,60
Alaska,,2021-02-12,61.7
Alaska,,2021-02-13,64.5
Alaska,,2021-02-14,67.7
Alaska,,2021-02-16,70.3
Alaska,,2021-02-17,71.3
Alaska,,2021-02-18,73.3
Alaska,,2021-02-19,72.1
Alaska,,2021-02-20,75.8
Alaska,,2021-02-21,78.4
Alaska,,2021-02-22,79.4
Alaska,,2021-02-23,78.7
Alaska,,2021-02-24,77.2
Alaska,,2021-02-25,78.2
Alaska,,2021-02-26,76.5
Alaska,,2021-02-27,75.8
Alaska,,2021-02-28,77.3
Alaska,,2021-03-01,78.4
Alaska,,2021-03-02,72.39999999999999
Alaska,,2021-03-03,68.5
Alaska,,2021-03-04,67.7
Alaska,,2021-03-05,66.8
Alaska,,2021-03-06,67.60000000000001
Alaska,,2021-03-07,69.1
Alaska,,2021-03-08,69.89999999999999
Alaska,,2021-03-09,70.3
Alaska,,2021-03-10,69.1
Alaska,,2021-03-11,67.7
Alaska,,2021-03-12,67.7
Alaska,,2021-03-13,68.60000000000001
Alaska,,2021-03-14,70.6
Alaska,,2021-03-15,71.39999999999999
Alaska,,2021-03-16,70.1
Alaska,,2021-03-17,69.19999999999999
Alaska,,2021-03-18,69
Alaska,,2021-03-19,69.19999999999999
Alaska,,2021-03-20,69.69999999999999
Alaska,,2021-03-21,71.5
Alaska,,2021-03-22,72.1
Alaska,,2021-03-23,71.1
Alaska,,2021-03-24,70.1
Alaska,,2021-03-25,70
Alaska,,2021-03-26,68.60000000000001
Alaska,,2021-03-27,69.39999999999999
Alaska,,2021-03-28,70.39999999999999
Alaska,,2021-03-29,70.7
Alaska,,2021-03-30,70.6
Alaska,,2021-03-31,67.7
Alaska,,2021-04-01,66.8
Alaska,,2021-04-02,66.10000000000001
Alaska,,2021-04-03,66
Alaska,,2021-04-04,67.30000000000001
Alaska,,2021-04-05,67.80000000000001
Alaska,,2021-04-06,65.7
Alaska,,2021-04-07,63.800000000000004
Alaska,,2021-04-08,64
Alaska,,2021-04-09,63.800000000000004
Alaska,,2021-04-10,64.5
Alaska,,2021-04-11,65.3
Alaska,,2021-04-12,65.9
Alaska,,2021-04-13,69.1
Alaska,,2021-04-14,69.1
Alaska,,2021-04-15,68.5
Alaska,,2021-04-16,68.60000000000001
Alaska,,2021-04-17,68.30000000000001
Alaska,,2021-04-18,69
Alaska,,2021-04-19,69.3
Alaska,,2021-04-20,69.5
Alaska,,2021-04-21,70
Alaska,,2021-04-22,70.6
Alaska,,2021-04-23,70.5
Alaska,,2021-04-24,70.7
Alaska,,2021-04-25,71.1
Alaska,,2021-04-26,71.2
Alaska,,2021-04-27,71.2
Alaska,,2021-04-28,71
Alaska,,2021-04-29,71.7
Alaska,,2021-04-30,71.89999999999999
Alaska,,2021-05-01,72.89999999999999
Alaska,,2021-05-02,73.1
Alaska,,2021-05-03,73.2
Alaska,,2021-05-04,72.89999999999999
Alaska,,2021-05-05,72.89999999999999
Alaska,,2021-05-06,73.1
Alaska,,2021-05-07,73.2
Alaska,,2021-05-08,73.4
Alaska,,2021-05-09,73.4
Alaska,,2021-05-10,73.9
Alaska,,2021-05-11,73.7
Alaska,,2021-05-12,73.1
Alaska,,2021-05-13,73.2
Alaska,,2021-05-14,73.3
Alaska,,2021-05-15,73.6
Alaska,,2021-05-16,74
Alaska,,2021-05-17,74.1
Alaska,,2021-05-18,74
Alaska,,2021-05-19,74.1
Alaska,,2021-05-20,74.2
Alaska,,2021-05-21,74.4
Alaska,,2021-05-22,74.6
Alaska,,2021-05-23,74.9
Alaska,,2021-05-24,75
Alaska,,2021-05-25,74.8
Alaska,,2021-05-26,75
Alaska,,2021-05-27,75.1
Alaska,,2021-05-28,75.4
Alaska,,2021-05-29,75.7
Alaska,,2021-05-30,75.9
Alaska,,2021-06-01,76
Alaska,,2021-06-02,76
Alaska,,2021-06-03,75.8
